"14491: Kraftpriser i sluttbrukermarkedet, etter kontraktstype, kvartal og statistikkvariabel"

"kontraktstype";"kvartal";"Kraftpris ekskl. avgifter (øre/kWh)";"Kraftpris inkl. mva (øre/kWh)";"Fordeling av kontraktstyper (prosent)"
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2012K2";36.7;.;11.1
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2012K3";34.7;.;13.8
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2012K4";35.0;.;11.0
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2013K1";36.0;.;8.9
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2013K2";36.0;.;9.1
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2013K3";36.1;.;10.3
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2013K4";35.7;.;9.2
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2014K1";34.5;.;9.1
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2014K2";33.8;.;8.9
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2014K3";34.9;.;9.9
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2014K4";34.5;.;9.2
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2015K1";33.4;.;6.4
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2015K2";33.1;.;7.4
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2015K3";32.0;.;8.2
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2015K4";32.4;.;8.6
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2016K1";30.9;.;7.1
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2016K2";30.9;.;7.0
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2016K3";31.4;.;7.1
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2016K4";31.5;.;5.5
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2017K1";29.3;.;4.9
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2017K2";29.1;.;5.4
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2017K3";29.2;.;7.4
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2017K4";28.8;.;5.9
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2018K1";30.0;.;7.2
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2018K2";30.4;.;8.0
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2018K3";31.6;.;8.9
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2018K4";36.8;.;8.4
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2019K1";38.5;.;5.0
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2019K2";35.1;.;7.1
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2019K3";35.1;.;8.3
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2019K4";34.1;.;5.9
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2020K1";38.5;.;7.3
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2020K2";33.8;.;7.8
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2020K3";22.6;.;6.1
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2020K4";23.6;.;6.2
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2021K1";29.6;.;7.3
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2021K2";30.0;.;8.3
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2021K3";37.4;.;7.9
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2021K4";35.5;.;5.4
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2022K1";48.5;.;3.7
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2022K2";45.8;.;5.2
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2022K3";78.4;.;5.3
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2022K4";89.4;.;4.1
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2023K1";87.3;.;5.0
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2023K2";71.8;.;4.8
"2.1 Fastpriskontrakter, tjenesteytende næringer";"2023K3";68.7;.;6.4
